_gddid	title	year	intersection_words_lat	expected_lat	intersection_words_long	expected_long	_id	link_url
571e3c77cf58f16d50cfd572	Long-term drivers of change in Polylepis woodland distribution in the central Andes	2009	[]	['-16']	[]	['68']	10.1111/j.1654-1103.2009.01102.x	http://doi.wiley.com/10.1111/j.1654-1103.2009.01102.x
574629c5cf58f15d3f588144	Age verification of the Lake Gribben forest bed and the Younger Dryas Advance of the Laurentide Ice Sheet	1999	[]	['46']	[]	['87']	10.1139/e98-095	http://www.nrcresearchpress.com/doi/abs/10.1139/e98-095
57487289cf58f14b28730d7e	A Late-Quaternary pollen profile from Woodstock, Ontario	1978	[]	['43']	[]	['80']	10.1139/e78-116	http://www.nrcresearchpress.com/doi/abs/10.1139/e78-116
574a2d82cf58f10ab4bdc058	Palynology and Paleoecology of Postglacial Sediments from the Lower Fraser River Canyon of British Columbia	1975	[]	['49']	[]	['121']	10.1139/e75-065	http://www.nrcresearchpress.com/doi/abs/10.1139/e75-065
574cb209cf58f101d6da792e	A late Wisconsinan Coleopterous assemblage from southern Ontario and its environmental significance	1977	[]	['44']	[]	['81']	10.1139/e77-138	http://www.nrcresearchpress.com/doi/abs/10.1139/e77-138
57662355cf58f1167d07fcaa	History of vegetation and habitat change in the Austral-Asian region	2004	[]	['-36']	[]	['149']	10.1016/S1040-6182(03)00133-2	http://www.sciencedirect.com/science/article/pii/S1040618203001332
5788f6f4cf58f15522c81a6e	A palynological study of postglacial vegetation changes in the University Research Forest, southwestern British Columbia	1973	[]	['49']	[]	['122']	10.1139/b73-271	http://www.nrcresearchpress.com/doi/abs/10.1139/b73-271
57fefc3ccf58f1a65fd2ae25	Mauritius since the last glacial: environmental and climatic reconstruction of the last 38 000 years from Kanaka Crater	2012	[]	['-20']	[]	['57']	10.1002/jqs.1526	http://doi.wiley.com/10.1002/jqs.1526
58333faecf58f177a7b78a4b	Mammoth (Mammuthus sp.) excavation on a college campus in Western Illinois, USA	2007	[]	['38']	[]	['90']	10.1016/j.quaint.2006.08.001	http://www.sciencedirect.com/science/article/pii/S1040618206001935
58368699cf58f112092da3c1	Multi-decadal drought and amplified moisture variability drove rapid forest community change in a humid region	2012	[]	['43', '46']	[]	['82', '86']	10.1890/11-1068.1	http://doi.wiley.com/10.1890/11-1068.1
58cf149acf58f19274589163	Effects of Small Ponds on Stream Water Chemistry	2006	[]	['39', '40']	[]	['75']	10.1080/07438140609354366	http://www.tandfonline.com/doi/abs/10.1080/07438140609354366
58cf14a6cf58f192745891a9	Setting Restoration Goals for an Acid and Metal-Contaminated Lake: A Paleolimnological Study of Daisy Lake (Sudbury, Canada)	1996	[]	['46']	[]	['80']	10.1080/07438149609354274	http://www.tandfonline.com/doi/abs/10.1080/07438149609354274
5a047c70cf58f1b9640296a8	Wisconsin Environment of Interior Alaska: Pollen and Macrofossil Analysis of a 27 Meter Core from the Isabella Basin (Fairbanks, Alaska)	1974	[]	['64']	[]	['147']	10.1139/e74-083	http://www.nrcresearchpress.com/doi/10.1139/e74-083
